"GEOID","county","time_to_work","hh_income_med","hh_total","hh_low_income","population","old","hh_low_income_prop","old_prop","old_prop_high","income_q"
"01003","Baldwin County, Alabama",96893,69914,98854,5500,246435,53946,0.0556376069759443,0.218905593767119,1,3
"01015","Calhoun County, Alabama",46913,52819,45701,4151,115788,21445,0.0908295223299271,0.185209175389505,1,4
"01043","Cullman County, Alabama",38782,63229,35966,2638,90665,17376,0.0733470499916588,0.191650581812166,1,4
"01049","DeKalb County, Alabama",29232,49663,26459,2523,71998,12763,0.0953550776673344,0.177268813022584,1,4
"01051","Elmore County, Alabama",39106,71651,34061,1568,89563,14594,0.0460350547547048,0.162946752565233,1,2
"01055","Etowah County, Alabama",41658,57098,39956,1968,103088,20370,0.0492541795975573,0.197598168555021,1,2
"01069","Houston County, Alabama",46691,56705,42417,3309,108079,20009,0.0780111747648349,0.185133097086391,1,4
"01073","Jefferson County, Alabama",277043,61968,271877,18609,665409,113686,0.0684463930380282,0.170851310998198,1,4
"01077","Lauderdale County, Alabama",41739,59461,39021,2480,95878,20190,0.0635555213859204,0.210580112225954,1,3
"01081","Lee County, Alabama",77959,58549,71830,7907,180773,24335,0.110079354030349,0.13461634204223,0,4
"01083","Limestone County, Alabama",45841,84220,40036,2225,110900,17837,0.0555749825157358,0.160838593327322,1,3
"01089","Madison County, Alabama",173041,80123,166454,9187,403565,64228,0.0551924255349826,0.159151561706293,1,3
"01095","Marshall County, Alabama",37752,52678,36611,2215,99423,17325,0.060500942339734,0.174255453969403,1,3
"01097","Mobile County, Alabama",162918,54300,162605,13488,411411,71584,0.0829494787983149,0.173996319981721,1,4
"01101","Montgomery County, Alabama",93197,57509,90527,7177,226361,36554,0.079280214742563,0.161485414890374,1,4
"01103","Morgan County, Alabama",50747,62201,49140,2839,124211,22898,0.0577737077737078,0.184347602064229,1,3
"01115","St. Clair County, Alabama",39331,70301,35558,2323,93932,17280,0.0653298835705045,0.183962866754674,1,3
"01117","Shelby County, Alabama",100672,98212,87755,4365,230115,39429,0.0497407555125064,0.171344762401408,1,2
"01121","Talladega County, Alabama",31343,56876,34679,3148,80704,15615,0.0907753972144525,0.193484833465504,1,4
"01125","Tuscaloosa County, Alabama",104165,61097,89075,8174,236780,33505,0.0917653662643839,0.141502660697694,1,4
"02020","Anchorage Municipality, Alaska",132732,100751,109856,4978,287145,36600,0.0453138654238276,0.127461735360184,0,2
"02090","Fairbanks North Star Borough, Alaska",45853,83519,37356,1462,95356,11496,0.0391369525645144,0.120558748269642,0,2
"02170","Matanuska-Susitna Borough, Alaska",43603,84636,39942,1422,113325,15458,0.035601622352411,0.136404147363777,0,1
"04001","Apache County, Arizona",17874,37663,20690,3832,65432,11022,0.185210246495892,0.168449688225944,1,4
"04003","Cochise County, Arizona",39892,55031,49981,3883,125663,30567,0.077689522018367,0.243245824148715,1,4
"04005","Coconino County, Arizona",61585,62622,53988,3806,144060,20538,0.0704971475142624,0.142565597667638,1,4
"04013","Maricopa County, Arizona",1751831,83747,1726554,81541,4551524,737669,0.04722759902094,0.162070770142045,1,2
"04015","Mohave County, Arizona",69437,54786,99512,6056,220816,71095,0.0608569820725139,0.321964893848272,1,3
"04017","Navajo County, Arizona",34833,49487,41415,4843,108650,21389,0.116938307376554,0.196861481822365,1,4
"04019","Pima County, Arizona",403803,64014,436469,27527,1057597,224382,0.0630674801646852,0.212162099552098,1,3
"04021","Pinal County, Arizona",161453,76377,164281,8018,464154,97863,0.0488066179290362,0.210841660311017,1,2
"04025","Yavapai County, Arizona",81299,63936,110928,5369,246191,83951,0.0484007644598298,0.340999467892815,1,2
"04027","Yuma County, Arizona",71942,53994,80857,4044,207842,42802,0.0500142226399693,0.205935277759067,1,3
"05007","Benton County, Arkansas",129633,85917,112045,3431,302863,42406,0.030621625239859,0.140017103442811,1,1
"05031","Craighead County, Arkansas",50982,61871,44528,2130,113017,15645,0.0478350700682717,0.138430501605953,0,2
"05045","Faulkner County, Arkansas",49444,62993,49270,4306,127665,18459,0.0873959813273797,0.144589354952415,1,4
"05051","Garland County, Arkansas",39791,53145,45340,3603,100089,25176,0.0794662549625055,0.251536132841771,1,4
"05069","Jefferson County, Arkansas",22784,44584,24326,2194,64246,12073,0.0901915645811066,0.187918313980637,1,4
