"strike_binary","employer","industry","address","city","state","zip_code","approximate_number_of_participants","duration_amount","authorized","worker_demands","time_to_work","hh_total","hh_low_income","population","old","hh_low_income_prop","old_prop","old_prop_high","income_q","ed_total","other_race","other_race_prop","other_race_min","higher_ed_prop","aging_q","geometry"
"0","Berkshire Medical Center","Health Care and Social Assistance","742 North St","Pittsfield","Massachusetts","01201",NA,1,"MISSING","Pay",54904,58370,2407,127859,31990,0.0412369367825938,0.250197483165049,1,2,96703,16193,0.126647322441127,0,0.390277447442168,4,c(-73.2481915, 42.4590661)
"0","Berkshire Medical Center","Health Care and Social Assistance","742 North St","Pittsfield","Massachusetts","01201",NA,1,"MISSING","Pay",54904,58370,2407,127859,31990,0.0412369367825938,0.250197483165049,1,2,96703,16193,0.126647322441127,0,0.390277447442168,4,c(-73.2481915, 42.4590661)
"0","Berkshire Medical Center","Health Care and Social Assistance","742 North St","Pittsfield","Massachusetts","01201",NA,1,"MISSING","Pay",54904,58370,2407,127859,31990,0.0412369367825938,0.250197483165049,1,2,96703,16193,0.126647322441127,0,0.390277447442168,4,c(-73.2481915, 42.4590661)
"0","Berkshire Medical Center","Health Care and Social Assistance","742 North St","Pittsfield","Massachusetts","01201",NA,1,"MISSING","Pay",54904,58370,2407,127859,31990,0.0412369367825938,0.250197483165049,1,2,96703,16193,0.126647322441127,0,0.390277447442168,4,c(-73.2481915, 42.4590661)
"0","Berkshire Medical Center","Health Care and Social Assistance","742 North St","Pittsfield","Massachusetts","01201",NA,1,"MISSING","Pay",54904,58370,2407,127859,31990,0.0412369367825938,0.250197483165049,1,2,96703,16193,0.126647322441127,0,0.390277447442168,4,c(-73.2481915, 42.4590661)
"0","Berkshire Medical Center","Health Care and Social Assistance","742 North St","Pittsfield","Massachusetts","01201",NA,1,"MISSING","Pay",54904,58370,2407,127859,31990,0.0412369367825938,0.250197483165049,1,2,96703,16193,0.126647322441127,0,0.390277447442168,4,c(-73.2481915, 42.4590661)
"0","Berkshire Medical Center","Health Care and Social Assistance","742 North St","Pittsfield","Massachusetts","01201",NA,1,"MISSING","Pay",54904,58370,2407,127859,31990,0.0412369367825938,0.250197483165049,1,2,96703,16193,0.126647322441127,0,0.390277447442168,4,c(-73.2481915, 42.4590661)
"0","Berkshire Medical Center","Health Care and Social Assistance","742 North St","Pittsfield","Massachusetts","01201",NA,1,"MISSING","Pay",54904,58370,2407,127859,31990,0.0412369367825938,0.250197483165049,1,2,96703,16193,0.126647322441127,0,0.390277447442168,4,c(-73.2481915, 42.4590661)
"0","Berkshire Medical Center","Health Care and Social Assistance","742 North St","Pittsfield","Massachusetts","01201",NA,1,"MISSING","Pay",54904,58370,2407,127859,31990,0.0412369367825938,0.250197483165049,1,2,96703,16193,0.126647322441127,0,0.390277447442168,4,c(-73.2481915, 42.4590661)
"0","Berkshire Medical Center","Health Care and Social Assistance","742 North St","Pittsfield","Massachusetts","01201",NA,1,"MISSING","Pay",54904,58370,2407,127859,31990,0.0412369367825938,0.250197483165049,1,2,96703,16193,0.126647322441127,0,0.390277447442168,4,c(-73.2481915, 42.4590661)
